TWEET_ID	TEXT	SENTIMENT	sentiment
1221099475982323712	podejrzeni wirusa coronaviru 	brak	0
1221232003393167360	boję wirusa hshshshsh coronaviru 	brak	0
1221344960194195457	pierwszi przypadek wirusa ncov kalifornii trzeci usa 	brak	0
1221491639190945795	kiedi coronaviru dotrz polski napotka opór znakomici zorganizowanego publicznego systemu ochroni zdrowia 	brak	0
1221730072811491328	prawdopodobni uchroni coronaviru zapewni ochronę twarzi praci koelner modeco poland bhp smog 	brak	0
1221826053695512576	lekceważci dalej będzie tragedia coronaviru 	brak	0
1221826367928655876	msz przygotowuj ewakuację polaków chińskiego wuhan wieszwiecej 	brak	0
1221827258228277248	pomylio ci liczbowo wuhan milionów mieszkańców procenta napisaaś 	brak	-1
1221827770927517698	dzisiaj federaln msz niemiec ogosio zamiar ewakuacji osób wuhan odpowiedni 	brak	0
1221827784647020545	coronaviru monkaw 	brak	1
1221828199899914246	dzisiaj federaln msz niemiec ogosio zamiar ewakuacji osób wuhan 	brak	-1
1221828852617486336	wuhan zaczyna brakować personelu środków medycznych dóbr żywność coronaviru 	brak	0
1221829000663879680	tylko wiadomość fake wuhan oficjalnych chorych 	brak	0
1221829665972723712	koronawiru wuhan polsc zobacz objawi leczeni profilaktykę zalecenia lekarzi zwaszcza profilaktyka 	brak	0
1221830032420679680	symulacja epidemii polsc coronaviru epidem epidemia 	brak	-1
1221831400023785474	sądząc ilości wojska wuhan raczej pijarowa lipa potrzebi wyborów 	brak	0
1221831542454001666	thi is news coronaviru who popenio bąd 	brak	1
1221831858138370049	kolejni polaci chcą wrócić wuhan 	brak	0
1221832891501568000	lekko zbaczając kursu memów mapa pokazuj aktualn rozprzestrzenieni wirusa wuhan coronaviru 	brak	0
1221833145965776896	budowa szpitala wuhan 	brak	-1
1221833163552542723	samoloti pociągi ratownikami przylatują wuhan są specjaliści chorób zakaźnych terapeuci oddechowi lek 	brak	0
1221833595859480577	cay cza wmawiają zarażonych ofiar śmiertelnych coronaviru 	brak	0
1221834359981989888	koronawiru wuhan polsc objawi leczeni profilaktyka zalecenia lek 	brak	0
1221834416865054721	wuhan pracujo 	brak	0
1221834472359854080	koronawiru wuhan co wiemi pori 	brak	1
1221835202139389955	interaktywna mapaktóra pomaga śledzić ewolucję koronawirusa caej planeci czasi rzeczywistym coronaviru 	brak	0
1221835267474186244	studenc uciekli koronawirusem wuhan polsc czi zdrowi wszysci zostali przebadani 	brak	0
1221835429168717825	koronawiru lotnisko chopina zapewnia przygotowan przyjęci polskich studentów wuhan 	brak	0
1221835506889232385	portugalia pierwszi pacjent podejrzeniem zakażenia koronawirusem wuhan 	brak	0
1221835608747839489	koronawiru wuhan oznacza nazwa 	brak	0
1221835843595390978	jak czytaam zarażoni obywatel wuhan zarazi samym początku lekarzi jest źle 	brak	0
1221836267291316225	ilu polaków wuhan przygotowania ewakuacji via 	brak	0
1221837704981307392	zdziwię powiedzą listi pojechay chin wuhan odważni pojedzi 	brak	-1
1221837716519899136	za przypominami coronaviru wirusem osonkowym podatnym dziaani rozpuszczalników 	brak	-1
1221838090429399040	ludzi krzyczą domów wuhani wuhanjesteśmi jednością rząd doopi ilub radzi 	brak	-1
1221839813416013826	prawda wuhan blisko rynku mieści nowoczesn laboratorium badając 	brak	0
1221840661705568256	wymar wuhan nagrani miasta objętego kwarantanną via 	brak	0
1221841877927899141	polaków wrócić wuhan ambasadzi rp pekini powoano sztab kryzysowi będzie spotkani 	brak	0
1221842576879312896	soro zainwestowa laboratorium biotechnologiczn wuhan czi zamieszani produkcję wirusa badani 	brak	0
1221842642616619010	polaków wrócić wuhan wiceszef msz pracujemi ewentualną ewakuacją 	brak	0
1221843232478371842	wymar wuhan nagrani miasta objętego kwarantanną via endego 	brak	0
1221843292444336128	koronawiru wuhan polsc objawi leczeni profilaktyka zalecenia lek via 	brak	0
1221843410446901250	cyklu grano przypadku wuhan ciekaw sowa szczególni weźmiemi uwagę doświadczen 	brak	-1
1221845753313755139	tymczasem wuhan odcięto reszti świata obszar porównywalni syrii mcd starbuck zawiesili dziaalność 	brak	-1
1221845835643858952	aktualizowana bieżąco mapa przypadków coronaviru świeci liczbą potwierdzonych zarażeń zgonów nie dz 	brak	-1
1221845860658700289	użyteczni idioci akcji chiński wiru wuhan cyklu stan prawami mniejszości 	brak	-1
1221845944142127105	pewni ów sztab zajmuj chwili przygotowaniami ewakuacji studentów wuhan 	brak	0
1221847839892025345	polaków wrócić zagrożonego miasta wuhan transport odbywać etapami 	brak	0
1221848117735235591	wuhan osób zmaro koronawiru zaatakowa sri lankę państw potwierdzio przypadki zakażenia 	brak	0
1221848119853404167	chini wuhan przeom walc koronawirusem podobni sar wiru podatni dziaani leków przeciwko hiv 	brak	0
1221848744578232320	nieciekawi wygląda coronaviru 	brak	0
1221849621284126720	spray przeciwwirusowi przeciwko coronaviru szanghaju aplikować garda tarczę wirusem moż 	brak	0
1221850248814809089	kolejn czasopismo medyczn przygotowao bazę wiedzi naukowej temat koronawirusa wuhan to krok wa 	brak	0
1221851515289247746	ciaa zmarych korytarzu szpitala wuhan 	brak	-1
1221852051354857472	koronawiru wuhan rosjani mówią mieć szczepionkę czerwcu 	brak	0
1221853687280218113	wedug wadz hong kongu zidentyfikowanych chorych samym wuhan tysięci szacuj li 	brak	0
1221853801499561985	polski rząd przeznaczi mld zoti badania coronaviru nie przepraszam wyda 	brak	-1
1221855499349610498	już jutro rządowym centrum bezpieczeństwa spotkani ws koronawirusa wuhan wuhancoronoviru wuhanviru 	brak	0
1221855931018948608	tak obecni wygląda wuhan przerażająci film via 	brak	-1
1221856036413411329	proszę wysać męża ażebi przeprowadzi rzetelni wywiad mieszkańcami wuhan 	brak	-1
1221856489436000258	wdym coronaviru 	brak	0
1221857745000914945	jeże okaż coronaviru chiński wiru dojdzi polski przynajmniej media odtrąbią zo 	brak	0
1221857791834501121	wielu ludzi wyjechao wuhan rodzin byo wiru inkubuj okoo dni 	brak	0
1221858223881408512	wedug doniesień cctv ofiara chorobi latek wcześniej wuhan centrum wybuchu koronawirusa mężc 	brak	0
1221858902796591106	jest plan idealni oszukujmi rt tweetm tweetmekurwa coronaviru pi jebacpi jebaćpi 	brak	0
1221859378636185600	kiedyś zastanowio czasi tytu znalaz polecani coronaviru 	brak	-1
1221860862090207234	kto istotniejszi coronaviru 	brak	0
